issue_type,sub_issue,raw_label,label,label_strategy,training_example_count
Booking Incomplete,Failed to fetch tickets,Booking Incomplete > Failed to fetch tickets,Booking Incomplete > Failed to fetch tickets,raw_label,3
Custom Field,Format Issue,Custom Field > Format Issue,Custom Field > Format Issue,raw_label,3
Custom Field,Unknown,Custom Field > Unknown,Custom Field > Unknown,raw_label,3
Customer Issue,Book Manually,Customer Issue > Book Manually,Customer Issue > Book Manually,raw_label,3
Inventory Issue,Dates Sold out,Inventory Issue > Dates Sold out,Inventory Issue > Dates Sold out,raw_label,3
Payment Issue,General,Payment Issue > General,Payment Issue > General,raw_label,3
Product Code,Codes to be updated,Product Code > Codes to be updated,Product Code > Codes to be updated,raw_label,3
SP Issue,ID disabled,SP Issue > ID disabled,SP Issue > ID disabled,raw_label,3
SP Issue,Product Code Issue,SP Issue > Product Code Issue,SP Issue > Product Code Issue,raw_label,3
Set Up Issue,Invalid Product ID,Set Up Issue > Invalid Product ID,Set Up Issue > Invalid Product ID,raw_label,3
Set Up Issue,Mandatory Logic Issue,Set Up Issue > Mandatory Logic Issue,Set Up Issue > Mandatory Logic Issue,raw_label,3
Set Up Issue,Product ID Invalid,Set Up Issue > Product ID Invalid,Set Up Issue > Product ID Invalid,raw_label,3
Set Up Issue,Wrong Pax Types are added,Set Up Issue > Wrong Pax Types are added,Set Up Issue > Wrong Pax Types are added,raw_label,3
Tech Issue,Config Issue,Tech Issue > Config Issue,Tech Issue > Config Issue,raw_label,3
Timeout,Unknown,Timeout > Unknown,Timeout > Unknown,raw_label,3
Booking Failed,Stale Inventory,Booking Failed > Stale Inventory,Booking Failed,issue_type_fallback,2
Customer Issue,Char Limit,Customer Issue > Char Limit,Customer Issue,issue_type_fallback,2
Timeout,Rate Limit Issue,Timeout > Rate Limit Issue,other,other_fallback,2
Booking Failed,Pending pax Confirmation,Booking Failed > Pending pax Confirmation,Booking Failed,issue_type_fallback,1
Booking Incomplete,Failed to send tickets,Booking Incomplete > Failed to send tickets,other,other_fallback,1
Booking Incomplete,Unknown,Booking Incomplete > Unknown,other,other_fallback,1
Custom Field,Custom Field Values mismatch,Custom Field > Custom Field Values mismatch,other,other_fallback,1
Customer Issue,Missing Dropdown Values,Customer Issue > Missing Dropdown Values,Customer Issue,issue_type_fallback,1
Inventory Issue,Future Dated,Inventory Issue > Future Dated,Inventory Issue,issue_type_fallback,1
Inventory Issue,Out of PP Tickets,Inventory Issue > Out of PP Tickets,Inventory Issue,issue_type_fallback,1
Inventory Issue,Stale Inventory,Inventory Issue > Stale Inventory,Inventory Issue,issue_type_fallback,1
Product Code,Unknown,Product Code > Unknown,other,other_fallback,1
SP Issue,Auto Reschedule Failed,SP Issue > Auto Reschedule Failed,SP Issue,issue_type_fallback,1
SP Issue,Pending Confirmation,SP Issue > Pending Confirmation,SP Issue,issue_type_fallback,1
SP Issue,Stale Inventory,SP Issue > Stale Inventory,SP Issue,issue_type_fallback,1
Seatmap,Inventory Issue,Seatmap > Inventory Issue,other,other_fallback,1
Seatmap,Seat Validation Issue,Seatmap > Seat Validation Issue,other,other_fallback,1
Set Up Issue,Max Pax Mismatch,Set Up Issue > Max Pax Mismatch,other,other_fallback,1
Set Up Issue,Schedule Type Mismatch,Set Up Issue > Schedule Type Mismatch,other,other_fallback,1
Tech Issue,LIC,Tech Issue > LIC,other,other_fallback,1
