id,text,label,issue_type,sub_issue,raw_label,anchor_source,label_strategy,source_row_id
sheet1_r010_parent,B0004,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,10
sheet1_r010_baby,无效的资源价格,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,10
sheet1_r010_combined,B0004 || 无效的资源价格,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,10
sheet1_r011_parent,BOOKING_NOT_ENOUGH_ALLOTMENT,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,11
sheet1_r012_parent,Booking exceeds available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,12
sheet1_r013_parent,Booking failed bookingId,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,13
sheet1_r013_baby,MISSING_FIELD: No inventory,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,13
sheet1_r013_combined,Booking failed bookingId || MISSING_FIELD: No inventory,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,13
sheet1_r014_parent,"Code\"" 409",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,14
sheet1_r015_parent,Component key not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,15
sheet1_r016_parent,Connection not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,16
sheet1_r017_parent,Could not find slot for booking,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,17
sheet1_r018_parent,Event Id is not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,18
sheet1_r018_baby,Check inventory,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,18
sheet1_r018_combined,Event Id is not found || Check inventory,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,18
sheet1_r019_parent,"Exception message:\nnull""]",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,19
sheet1_r019_baby,Arrival date is not available anymore,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,19
sheet1_r019_combined,"Exception message:\nnull""] || Arrival date is not available anymore",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,19
sheet1_r020_parent,"Exception message:\nnull""]",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,20
sheet1_r020_baby,Component key not found for,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,20
sheet1_r020_combined,"Exception message:\nnull""] || Component key not found for",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,20
sheet1_r021_parent,"Exception message:\nnull""]",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,21
sheet1_r021_baby,No timeslots for product type,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,21
sheet1_r021_combined,"Exception message:\nnull""] || No timeslots for product type",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,21
sheet1_r022_parent,External communication failed,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,22
sheet1_r023_parent,Failed reservation,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,23
sheet1_r023_baby,NO_AVAILABILITY,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,23
sheet1_r023_combined,Failed reservation || NO_AVAILABILITY,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,23
sheet1_r024_parent,GEN-UNPROCESSABLE,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,24
sheet1_r024_baby,Arrival date is not available anymore. Please choose another one.,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,24
sheet1_r024_combined,GEN-UNPROCESSABLE || Arrival date is not available anymore. Please choose another one.,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,24
sheet1_r025_parent,INGRESSO-SM,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,25
sheet1_r025_baby,input has become unavailable,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,25
sheet1_r025_combined,INGRESSO-SM || input has become unavailable,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,25
sheet1_r026_parent,INVALID_INSUFFICIENT_AVAILABILITY,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,26
sheet1_r026_baby,Please select a different time slot,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,26
sheet1_r026_combined,INVALID_INSUFFICIENT_AVAILABILITY || Please select a different time slot,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,26
sheet1_r027_parent,INVALID_THIRDPARTY_BOOKING,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,27
sheet1_r027_baby,Remotely closed,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,27
sheet1_r027_combined,INVALID_THIRDPARTY_BOOKING || Remotely closed,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,27
sheet1_r028_parent,INVALID_THIRDPARTY_RESERVATION,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,28
sheet1_r028_baby,there is insufficient availability at third party,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,28
sheet1_r028_combined,INVALID_THIRDPARTY_RESERVATION || there is insufficient availability at third party,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,28
sheet1_r029_parent,Invalid session start time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,29
sheet1_r029_baby,"errorCode\"":\""3\",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,29
sheet1_r029_combined,"Invalid session start time || errorCode\"":\""3\",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,29
sheet1_r030_parent,Inventory,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,30
sheet1_r030_baby,no longer available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,30
sheet1_r030_combined,Inventory || no longer available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,30
sheet1_r031_parent,MISSING OR INCORRECT KEY,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,31
sheet1_r031_baby,Component key not found for,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,31
sheet1_r031_combined,MISSING OR INCORRECT KEY || Component key not found for,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,31
sheet1_r032_parent,Mida Exception,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,32
sheet1_r032_baby,Slot not found for start time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,32
sheet1_r032_combined,Mida Exception || Slot not found for start time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,32
sheet1_r033_parent,No Availability,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,33
sheet1_r034_parent,No availability,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,34
sheet1_r035_parent,No availability for date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,35
sheet1_r036_parent,No available seats found for,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,36
sheet1_r037_parent,No event found for,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,37
sheet1_r038_parent,No events matched the requested date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,38
sheet1_r039_parent,No matching sessions found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,39
sheet1_r040_parent,No of tickets requested is more than the available seats present,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,40
sheet1_r041_parent,No offer found for com.headout,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,41
sheet1_r043_parent,No offers found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,43
sheet1_r044_parent,No performance is available for the given,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,44
sheet1_r045_parent,No planStartTimeID found for,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,45
sheet1_r046_parent,No schedule availability found for date/time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,46
sheet1_r047_parent,No ticket found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,47
sheet1_r048_parent,No timeslot found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,48
sheet1_r049_parent,No timeslots for product type,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,49
sheet1_r049_baby,Arrival date is not available anymore. Please choose another one,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,49
sheet1_r049_combined,No timeslots for product type || Arrival date is not available anymore. Please choose another one,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,49
sheet1_r050_parent,No timeslots for product type,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,50
sheet1_r050_baby,has a starting time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,50
sheet1_r050_combined,No timeslots for product type || has a starting time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,50
sheet1_r051_parent,Not enough availability to fulfill request,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,51
sheet1_r051_baby,Requested inventory doesn't match what is available for date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,51
sheet1_r051_combined,Not enough availability to fulfill request || Requested inventory doesn't match what is available for date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,51
sheet1_r052_parent,Not enough available tickets,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,52
sheet1_r053_parent,Not possible to book,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,53
sheet1_r054_parent,Oferta Anticipada no existe o no está disponible,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,54
sheet1_r055_parent,Please pick an alternative date or contact our reservations team,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,55
sheet1_r055_baby,No availability in external system,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,55
sheet1_r055_combined,Please pick an alternative date or contact our reservations team || No availability in external system,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,55
sheet1_r056_parent,Price id for person,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,56
sheet1_r056_baby,EUR_ADULT,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,56
sheet1_r056_combined,Price id for person || EUR_ADULT,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,56
sheet1_r057_parent,Price id for person,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,57
sheet1_r057_baby,NON_EUR_ADULT,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,57
sheet1_r057_combined,Price id for person || NON_EUR_ADULT,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,57
sheet1_r058_parent,Reservation state could not be found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,58
sheet1_r059_parent,SERVICE_UNAVAILABLE,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,59
sheet1_r059_baby,Can't create,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,59
sheet1_r059_combined,SERVICE_UNAVAILABLE || Can't create,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,59
sheet1_r060_parent,SERVICE_UNAVAILABLE,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,60
sheet1_r060_baby,Not enough availability found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,60
sheet1_r060_combined,SERVICE_UNAVAILABLE || Not enough availability found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,60
sheet1_r061_parent,Select was successful but did not create an order,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,61
sheet1_r061_baby,Insufficient availability,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,61
sheet1_r061_combined,Select was successful but did not create an order || Insufficient availability,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,61
sheet1_r062_parent,Session for inventory time,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,62
sheet1_r062_baby,not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,62
sheet1_r062_combined,Session for inventory time || not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,62
sheet1_r063_parent,Solutions not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,63
sheet1_r064_parent,Some products are not available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,64
sheet1_r065_parent,The event is not on sale,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,65
sheet1_r066_parent,There are not enough seats available in this session,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,66
sheet1_r067_parent,There is insufficient availability for this booking,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,67
sheet1_r068_parent,There is insufficient availability to proceed with booking,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,68
sheet1_r069_parent,There is insufficient capacity to create a basket with these reservations,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,69
sheet1_r070_parent,There is not enough availability to make the booking,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,70
sheet1_r071_parent,There's not enough Bus available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,71
sheet1_r072_parent,Unable to create booking,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,72
sheet1_r072_baby,Unable to satisfy resources,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,72
sheet1_r072_combined,Unable to create booking || Unable to satisfy resources,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,72
sheet1_r073_parent,backend availability not found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,73
sheet1_r074_parent,cart.bookings.failed\,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,74
sheet1_r074_baby,one or more items in your cart,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,74
sheet1_r074_combined,cart.bookings.failed\ || one or more items in your cart,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,74
sheet1_r075_parent,could not be found,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,75
sheet1_r075_baby,Start time ID,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,75
sheet1_r075_combined,could not be found || Start time ID,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,75
sheet1_r076_parent,date is sold out,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,76
sheet1_r077_parent,does not exist or is not available for the date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,77
sheet1_r077_baby,The product,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,77
sheet1_r077_combined,does not exist or is not available for the date || The product,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,77
sheet1_r078_parent,error.no.available.event,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,78
sheet1_r078_baby,no available event,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,78
sheet1_r078_combined,error.no.available.event || no available event,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,78
sheet1_r079_parent,error.no.available.slot,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,79
sheet1_r080_parent,error.not.enough.available.inventory,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,80
sheet1_r081_parent,"errorCode\"":\""21",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,81
sheet1_r081_baby,not available Timeslot,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,81
sheet1_r081_combined,"errorCode\"":\""21 || not available Timeslot",Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,81
